Hexagon Center,Number of Pixels,num_segments,EMD relative Metric,my hist metric,my hist metric sq,circ stat metric
"(0.0, 0.0)",0,nan,nan,nan,nan,0
"(103.92304845413263, 0.0)",0,nan,nan,nan,nan,0
"(207.84609690826525, 0.0)",38,nan,0.3338610141096087,0.11146317674229636,0.5757269012488947,2
"(311.76914536239786, 0.0)",112,nan,0.3812941091301784,0.1453851976573764,0.6258919491797321,5
"(415.6921938165305, 0.0)",95,nan,0.6027002687040123,0.3632476138958886,0.7628646755412852,3
"(519.6152422706631, 0.0)",22,nan,nan,nan,nan,2
"(623.5382907247957, 0.0)",0,nan,nan,nan,nan,0
"(727.4613391789284, 0.0)",0,nan,nan,nan,nan,0
"(831.384387633061, 0.0)",110,nan,0.6000980584880029,0.36011767980107057,0.7568815437893183,4
"(935.3074360871937, 0.0)",65,nan,0.4868398502123805,0.2370130397548131,0.6653730574497585,3
"(1039.2304845413262, 0.0)",66,nan,0.5991335341334435,0.3589609917232301,0.7594719264372282,2
"(1143.1535329954588, 0.0)",55,nan,nan,nan,nan,3
"(1247.0765814495915, 0.0)",47,nan,0.5653168391627462,0.3195831286409583,0.642754309343061,4
"(1350.999629903724, 0.0)",125,nan,nan,nan,nan,5
"(1454.9226783578567, 0.0)",30,nan,nan,nan,nan,1
"(1558.8457268119894, 0.0)",58,nan,0.5472963415513478,0.2995332854754895,0.720431274311847,2
"(1662.768775266122, 0.0)",46,nan,0.34644831321994124,0.12002643373294251,0.5142166736627795,2
"(1766.6918237202547, 0.0)",36,nan,nan,nan,nan,3
"(1870.6148721743873, 0.0)",34,nan,nan,nan,nan,1
"(1974.53792062852, 0.0)",0,nan,nan,nan,nan,0
"(2078.4609690826524, 0.0)",0,nan,nan,nan,nan,0
"(51.96152422706631, 90.0)",8,nan,nan,nan,nan,1
"(155.88457268119893, 90.0)",187,nan,0.1475617109966052,0.021774458552245635,0.38029597550795674,5
"(259.80762113533154, 90.0)",189,nan,0.4093718521619807,0.16758531334253057,0.6281459211301769,7
"(363.7306695894642, 90.0)",113,0.10475023329445066,0.22436854508983348,0.050341244025728635,0.46958522995237967,3
"(467.6537180435968, 90.0)",164,1.0,0.5780658430456512,0.3341601188960795,0.7212218377078427,6
"(571.5767664977294, 90.0)",135,0.5517913353158719,0.3787128988353366,0.1434234597442639,0.6079830787618922,7
"(675.499814951862, 90.0)",196,0.6131257694329829,0.3396242251864892,0.11534461433352314,0.5760472800512425,6
"(779.4228634059947, 90.0)",145,0.20340875183526164,0.40611197955650974,0.164926939939307,0.6392711540587083,7
"(883.3459118601273, 90.0)",190,0.675363296941393,0.11314848008724361,0.012802578546053364,0.34453932667420356,5
"(987.26896031426, 90.0)",170,0.43261705477880186,0.2058431157830937,0.042371388315292115,0.454746208597109,10
"(1091.1920087683925, 90.0)",282,0.4278761502285824,0.38370868376341116,0.14723235399544948,0.6039934529548151,9
"(1195.1150572225251, 90.0)",204,0.5101385637803482,0.30197169011610675,0.091186901631578,0.48781453378703743,7
"(1299.0381056766578, 90.0)",182,0.38577807576578593,0.02712248879102826,0.0007356293982194536,0.19921425248031746,9
"(1402.9611541307904, 90.0)",328,0.6257427102819129,0.19333969600336895,0.03738023805067512,0.4445061808075819,9
"(1506.884202584923, 90.0)",126,0.409122038078247,0.1419344308467548,0.02014538265979222,0.39393026934621767,6
"(1610.8072510390557, 90.0)",127,0.5338544241974119,0.0720573005158532,0.005192254557631977,0.26017998722789515,7
"(1714.7302994931883, 90.0)",206,0.688649388628308,0.0410202471908655,0.0016826606795997089,0.2234872223363522,8
"(1818.653347947321, 90.0)",110,nan,nan,nan,nan,3
"(1922.5763964014536, 90.0)",0,nan,nan,nan,nan,0
"(2026.4994448555863, 90.0)",0,nan,nan,nan,nan,0
"(2130.4224933097184, 90.0)",0,nan,nan,nan,nan,0
"(0.0, 180.0)",0,nan,nan,nan,nan,1
"(103.92304845413263, 180.0)",53,0.3197318669838566,0.22626102364100853,0.05119405081907702,0.4745079335357805,3
"(207.84609690826525, 180.0)",148,0.5941590077127659,0.28338669899131697,0.08030802116519528,0.530292077963937,8
"(311.76914536239786, 180.0)",151,0.6045765614128635,0.4406976557762132,0.19421442380664972,0.6401484760614582,5
"(415.6921938165305, 180.0)",240,0.6741038326391675,0.31106425673305477,0.09676097181688781,0.5451577776107329,8
"(519.6152422706631, 180.0)",201,0.7474233975111102,0.2887840717996693,0.08339624012519656,0.5326172534614723,6
"(623.5382907247957, 180.0)",182,0.45474214826759807,0.32587510621810206,0.1061945848526593,0.5642066610764093,6
"(727.4613391789284, 180.0)",194,0.7208044510238366,0.3000678208613583,0.09004069711648421,0.5381850387571923,8
"(831.384387633061, 180.0)",262,0.607089438960347,0.2205934628688125,0.04866147586045416,0.4676716766493487,6
"(935.3074360871937, 180.0)",83,0.35883844040568735,0.19164742751037597,0.036728736471344815,0.43932158166391116,8
"(1039.2304845413262, 180.0)",176,0.6276204499815093,0.2541995241253037,0.06461739806553086,0.503453419969653,6
"(1143.1535329954588, 180.0)",158,0.5263379492647204,0.190225992783833,0.03618592833059489,0.4383495768977914,4
"(1247.0765814495915, 180.0)",214,0.5875145261366692,0.09134746041832427,0.008344358524877318,0.29581193557652957,7
"(1350.999629903724, 180.0)",140,0.6254023080554496,0.16241000578368023,0.026377009978655046,0.4084172216224066,6
"(1454.9226783578567, 180.0)",246,0.4417485247548002,0.23430176950213122,0.05489731919182983,0.47988021901915306,9
"(1558.8457268119894, 180.0)",269,0.3984144176611173,0.1025445607785495,0.010515386945265631,0.3350983682604609,7
"(1662.768775266122, 180.0)",206,0.2353442995080497,0.015316112452230671,0.00023458330064937542,0.1795335314369685,10
"(1766.6918237202547, 180.0)",158,0.5091856838856603,0.16812355186029562,0.02826552869012151,0.42453899398301637,7
"(1870.6148721743873, 180.0)",164,nan,nan,nan,nan,5
"(1974.53792062852, 180.0)",0,nan,nan,nan,nan,0
"(2078.4609690826524, 180.0)",0,nan,nan,nan,nan,0
"(51.96152422706631, 270.0)",35,nan,0.39217921124135596,0.1538045337298921,0.614488924019749,1
"(155.88457268119893, 270.0)",183,0.49792285276517867,0.3085320838880064,0.09519204678827582,0.5558928052187938,4
"(259.80762113533154, 270.0)",118,0.01234852772946926,0.39274404704166427,0.154247886486665,0.6269879909355839,2
"(363.7306695894642, 270.0)",178,0.5082475194539569,0.3433791667614117,0.1179092521657614,0.5691214750108665,5
"(467.6537180435968, 270.0)",116,0.17003639949998606,0.20660756347935613,0.04268668528687617,0.43393847180644435,6
"(571.5767664977294, 270.0)",181,0.6305691680828219,0.27750384573702624,0.07700838439883925,0.5059413062280192,6
"(675.499814951862, 270.0)",215,0.4656546728019084,0.28894535494229884,0.08348941814273106,0.5274976772230172,5
"(779.4228634059947, 270.0)",240,0.37997287669111746,0.19947830429043267,0.03979159388258645,0.4224608917440404,9
"(883.3459118601273, 270.0)",95,0.48250875087033995,0.29373347117887444,0.08627935209079066,0.5294585795591534,5
"(987.26896031426, 270.0)",225,0.21244856957637914,0.19802671067853464,0.03921457814216007,0.4467686464489877,8
"(1091.1920087683925, 270.0)",103,0.45810961377154835,0.16479085607637148,0.02715602624638338,0.41294227616736373,6
"(1195.1150572225251, 270.0)",246,0.6192101183744765,0.17616004390976556,0.031032361070290528,0.41656084116265785,9
"(1299.0381056766578, 270.0)",144,0.5604419675470564,0.07871335803764216,0.0061957927335620465,0.2877553567709224,5
"(1402.9611541307904, 270.0)",227,0.6085313226727525,0.25495299622250217,0.0650010302828312,0.4930655649795472,8
"(1506.884202584923, 270.0)",197,0.3956881961501514,0.15743246596850105,0.024784981340923242,0.3928192328480707,7
"(1610.8072510390557, 270.0)",107,0.5970271941856728,0.2328518594626464,0.054219988455212025,0.47571363414425355,6
"(1714.7302994931883, 270.0)",107,0.3765943443733679,0.1293588859156577,0.016733721365340144,0.3404442916101349,7
"(1818.653347947321, 270.0)",210,nan,0.14775030402471376,0.021830152339395347,0.40527918192738827,9
"(1922.5763964014536, 270.0)",0,nan,nan,nan,nan,0
"(2026.4994448555863, 270.0)",0,nan,nan,nan,nan,0
"(2130.4224933097184, 270.0)",0,nan,nan,nan,nan,0
"(0.0, 360.0)",0,nan,nan,nan,nan,0
"(103.92304845413263, 360.0)",141,0.0,0.19549804422602915,0.03821948529620245,0.4514802167478897,3
"(207.84609690826525, 360.0)",127,0.5075843735720308,0.27786880804596487,0.07721107448488528,0.5287886763628745,4
"(311.76914536239786, 360.0)",169,0.351007669728733,0.19617305477575595,0.03848386742005174,0.44539946538519065,4
"(415.6921938165305, 360.0)",143,0.44385397990855324,0.14645811388618327,0.021449979123098227,0.3864229820428016,6
"(519.6152422706631, 360.0)",117,0.7191357807531313,0.3217212773295666,0.10350458028656792,0.5459229078570408,4
"(623.5382907247957, 360.0)",233,0.2840650860534458,0.16273184149795772,0.026481652237316435,0.4128679621561066,8
"(727.4613391789284, 360.0)",183,0.4383135185406092,0.35744830728791904,0.1277692923829986,0.5927364145621848,6
"(831.384387633061, 360.0)",256,0.7655448880358349,0.36803656190290557,0.13545091089731123,0.5960668366608192,8
"(935.3074360871937, 360.0)",214,0.703599139909073,0.1691456143052692,0.02861023883870689,0.39216746326963275,7
"(1039.2304845413262, 360.0)",140,0.25155801362526276,0.22773731362723013,0.051864284018147376,0.4784996618481818,6
"(1143.1535329954588, 360.0)",218,0.54994320167704,0.24584824096865168,0.06044135758738022,0.48508029306316053,8
"(1247.0765814495915, 360.0)",106,0.43142831469808307,0.20685284920992716,0.04278810122626486,0.4505705169708299,4
"(1350.999629903724, 360.0)",232,0.6003723974358697,0.14827801258652631,0.021986369016610056,0.38050150435463115,5
"(1454.9226783578567, 360.0)",93,0.5414321190832239,0.13747533445727456,0.0188994675841395,0.379580463443519,5
"(1558.8457268119894, 360.0)",310,0.4425180360993235,0.4163439964796319,0.17334232340463174,0.5945069023751007,7
"(1662.768775266122, 360.0)",65,0.6729596744124166,0.4782636573359789,0.22873612592838666,0.6595798297108343,4
"(1766.6918237202547, 360.0)",229,0.4126407043617144,0.15607049672582382,0.024357999948245383,0.38563263869690245,9
"(1870.6148721743873, 360.0)",211,nan,nan,nan,nan,6
"(1974.53792062852, 360.0)",0,nan,nan,nan,nan,0
"(2078.4609690826524, 360.0)",0,nan,nan,nan,nan,0
"(51.96152422706631, 450.0)",0,nan,nan,nan,nan,0
"(155.88457268119893, 450.0)",73,0.3574037839466444,0.16637959130072458,0.027682168401396146,0.41337147225165105,6
"(259.80762113533154, 450.0)",191,0.3647014751899653,0.27495300712819626,0.07559915612883794,0.4729623151721345,8
"(363.7306695894642, 450.0)",169,0.6537063664963798,0.32837103198293266,0.10782753464553618,0.5490434432031032,6
"(467.6537180435968, 450.0)",193,nan,0.4052825368777157,0.16425393469803698,0.6326849644712236,6
"(571.5767664977294, 450.0)",174,0.5584055244854814,0.266213796401382,0.07086978539443646,0.5130378201182628,5
"(675.499814951862, 450.0)",192,0.46560683737581654,0.13099231422882177,0.01715898638702238,0.3681175109252323,9
"(779.4228634059947, 450.0)",131,0.7915674966763835,0.32150742338733673,0.1033670232931642,0.5627694217285021,7
"(883.3459118601273, 450.0)",235,0.038839246797597315,0.14986408503619422,0.022459243983735652,0.3199402190480639,12
"(987.26896031426, 450.0)",188,0.46619343917482226,0.21596975662157422,0.046642935775182005,0.47226754571366863,8
"(1091.1920087683925, 450.0)",232,0.7318987179443719,0.17155093631030569,0.02942972374894256,0.4185518647318662,7
"(1195.1150572225251, 450.0)",225,0.7163419354195958,0.215849499714438,0.04659100652697317,0.4581876018225952,6
"(1299.0381056766578, 450.0)",286,0.564328481587207,0.0821460869924479,0.006747979608170817,0.30035404515453507,6
"(1402.9611541307904, 450.0)",232,0.5592922348703888,0.06531930829846126,0.004266612036589431,0.26865468444199786,6
"(1506.884202584923, 450.0)",154,0.5193859386821522,0.11767612181791505,0.013847669646104782,0.35327446300911025,9
"(1610.8072510390557, 450.0)",198,0.7044242990140025,0.4859684329482263,0.2361653178221547,0.6795208730276211,3
"(1714.7302994931883, 450.0)",160,0.451246192334009,0.15947601783907128,0.02543260026580778,0.38962198502508666,5
"(1818.653347947321, 450.0)",176,0.351668810454163,0.010934219772345469,0.00011955716202995061,0.16220438886141175,8
"(1922.5763964014536, 450.0)",60,nan,nan,nan,nan,5
"(2026.4994448555863, 450.0)",0,nan,nan,nan,nan,0
"(2130.4224933097184, 450.0)",0,nan,nan,nan,nan,0
"(0.0, 540.0)",0,nan,nan,nan,nan,0
"(103.92304845413263, 540.0)",70,0.5492018986934182,0.292612991368675,0.08562236271772429,0.49055264907614343,5
"(207.84609690826525, 540.0)",155,0.3443593725623265,0.1276829083538702,0.016302925085702816,0.35211220290932405,7
"(311.76914536239786, 540.0)",168,0.40147776553156445,0.34844891379998505,0.1214166455283894,0.5750284169852006,8
"(415.6921938165305, 540.0)",203,0.5927350787016485,0.28819896111797155,0.08305864118947807,0.5282901701862687,6
"(519.6152422706631, 540.0)",118,0.3525302461404374,0.1526113705129389,0.02329023040983752,0.39778901204218764,3
"(623.5382907247957, 540.0)",203,0.4218884528801138,0.3001718321068252,0.09010312879036805,0.5464909377678167,8
"(727.4613391789284, 540.0)",119,0.6520921540727402,0.4140330523725087,0.17142336845689654,0.6389791346972156,5
"(831.384387633061, 540.0)",254,0.525489553345887,0.06489714711382615,0.004211639703513593,0.2470309175908254,6
"(935.3074360871937, 540.0)",103,0.4265892317391745,0.19845433119271005,0.03938412156914585,0.4428787876181795,8
"(1039.2304845413262, 540.0)",161,0.6439226902468982,0.20140231341767292,0.040562891849990554,0.43015075015064763,7
"(1143.1535329954588, 540.0)",206,0.8050295788407994,0.1685191288933555,0.02839869680297536,0.4041437064046955,5
"(1247.0765814495915, 540.0)",86,0.5903903067728409,0.18330893801732095,0.03360216675703802,0.4103192616804767,6
"(1350.999629903724, 540.0)",110,0.4476600805668134,0.19020663398610874,0.036178563612325534,0.42781985850480475,8
